0.0829,0.0697,0.0507,0.0456,0.0451,0.1287,0.1537,0.1493,0.1254,0.149
0.0987,0.1124,0.0993,0.1022,0.0974,0.0904,0.0986,0.1044,0.0975,0.0992
0.027451696174663212
1.3282846,1.0593,1.04,1.5749,1.2003,2.1982,0.9541,0.7741,0.7015,0.9878,0.9106
1.2328198,1.0954,1.0094,1.7795,1.2936,2.3787,0.9125,0.6834,0.6522,1.044,0.8834
1.1083506,1.0747,1.0138,1.8782,1.461,2.4621,0.8699,0.6726,0.6316,1.0738,0.8264
1.025855,1.0842,1.0375,1.9262,1.5737,2.5339,0.8398,0.6596,0.6208,1.0536,0.8047
0.9180155,1.123,1.0715,1.9553,1.6504,2.4506,0.8325,0.6552,0.617,1.0472,0.7791
0.80816334,1.0962,1.1022,1.9474,1.7816,2.41,0.819,0.6603,0.6093,1.0533,0.7634
0.78678817,1.124,1.0979,1.9572,1.8084,2.3808,0.8084,0.6541,0.617,1.0748,0.7371
0.73177284,1.1237,1.0884,1.9687,1.9057,2.352,0.8074,0.6453,0.6173,1.0644,0.7352
0.7339981,1.1372,1.0752,1.9837,1.9143,2.3306,0.807,0.6389,0.6218,1.0745,0.7264
0.7168073,1.132,1.0841,1.9933,1.9357,2.3163,0.8015,0.638,0.6248,1.0818,0.7163
0.7302308,1.1464,1.0645,1.9751,1.9417,2.2959,0.8032,0.638,0.6274,1.0996,0.7089
0.7080567,1.1569,1.0548,1.9739,2.0178,2.2951,0.784,0.6363,0.6277,1.1035,0.6997
0.7193356,1.1546,1.0584,1.9318,2.0111,2.3558,0.7856,0.6359,0.624,1.0951,0.7072
0.693072,1.1474,1.0583,1.9609,2.0257,2.307,0.787,0.648,0.6315,1.0743,0.7079
0.70629925,1.1488,1.0602,1.9824,2.0014,2.3005,0.7852,0.641,0.6313,1.0937,0.7009
0.71186274,1.1643,1.0608,1.9572,1.988,2.3089,0.778,0.6425,0.6352,1.0982,0.6992
0.70640206,1.1444,1.0756,1.96,1.9822,2.3323,0.7911,0.6401,0.6387,1.0904,0.6913
0.72209704,1.1317,1.0693,2.0019,1.9724,2.325,0.7894,0.6303,0.6359,1.1051,0.6942
0.70709765,1.163,1.0619,1.9518,2.0089,2.3346,0.7749,0.6336,0.6346,1.0918,0.7049
0.70186317,1.1784,1.0697,1.9835,2.0105,2.3734,0.7694,0.6333,0.6359,1.0733,0.6889
0.6878128,1.1618,1.0756,1.9723,2.0171,2.3284,0.7831,0.6349,0.6381,1.0821,0.6878
0.6696436,1.1614,1.0969,1.9855,2.009,2.3185,0.7768,0.6378,0.6355,1.078,0.6876
0.67977995,1.1895,1.0758,1.9822,2.0032,2.299,0.7711,0.6389,0.6383,1.0719,0.6967
0.6970728,1.1703,1.0716,1.9551,1.9991,2.3253,0.7823,0.6408,0.6383,1.0852,0.6889
0.70997363,1.1693,1.0538,1.985,1.995,2.2745,0.7847,0.6411,0.6392,1.1012,0.6877
0.6866913,1.168,1.0712,1.9783,2.0192,2.282,0.7841,0.6316,0.6427,1.0965,0.6836
0.6590564,1.1743,1.0948,1.9971,2.0187,2.2407,0.777,0.6299,0.6428,1.0906,0.6881
0.67100084,1.1881,1.0843,2.0029,2.0097,2.2755,0.7625,0.6324,0.6447,1.0838,0.6893
0.6816276,1.1729,1.0794,2.0261,2.0019,2.2498,0.7678,0.6293,0.6437,1.095,0.6925
0.68107706,1.1749,1.0735,1.9683,2.0217,2.2646,0.7754,0.6243,0.6495,1.0996,0.6921
0.70657986,1.1511,1.0499,2.003,2.0326,2.2691,0.7727,0.6303,0.6429,1.1145,0.6901
0.6721196,1.1589,1.0591,1.9848,2.0744,2.2277,0.7826,0.6418,0.6414,1.0938,0.686
0.687049,1.1805,1.0584,1.9761,2.0088,2.2154,0.7879,0.6402,0.6532,1.0879,0.6913
