0.08285119185373756,0.06965980097199723,0.05068271233510761,0.045591298310576255,0.04512844249016432,0.12867391807451978,0.15366813237676463,0.14927100208285118,0.1254339273316362,0.1490395741726452
0.09871666666666666,0.11236666666666667,0.0993,0.10218333333333333,0.09736666666666667,0.09035,0.09863333333333334,0.10441666666666667,0.09751666666666667,0.09915
0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
  Target test, epoch: 00061, sec: 7, loss: 0.64839, accuracy: 9256/10000, precision: 92.56000
  Target test, epoch: 00062, sec: 7, loss: 0.64786, accuracy: 9255/10000, precision: 92.55000
  Target test, epoch: 00063, sec: 6, loss: 0.64839, accuracy: 9253/10000, precision: 92.53000
  Target test, epoch: 00064, sec: 7, loss: 0.64851, accuracy: 9254/10000, precision: 92.54000
  Target test, epoch: 00065, sec: 7, loss: 0.64995, accuracy: 9255/10000, precision: 92.55000
  Target test, epoch: 00066, sec: 7, loss: 0.64969, accuracy: 9254/10000, precision: 92.54000
  Target test, epoch: 00067, sec: 7, loss: 0.65008, accuracy: 9254/10000, precision: 92.54000
  Target test, epoch: 00068, sec: 7, loss: 0.64968, accuracy: 9254/10000, precision: 92.54000
  Target test, epoch: 00069, sec: 7, loss: 0.64984, accuracy: 9254/10000, precision: 92.54000
  Target test, epoch: 00070, sec: 7, loss: 0.64955, accuracy: 9253/10000, precision: 92.53000
  Target test, epoch: 00071, sec: 17, loss: 0.64923, accuracy: 9256/10000, precision: 92.56000
